Squad,# Pl,Age,Ast,xG,MP,Gls,Sh,SoT,Dist,Cmp,Att,TotDist,Tkl,Press,Blocks,Sex,latitude,longitude
Argentina,20,29.6,6,4.9,4,6,57,16,18.0,2034,2461,37880,60,634,44,M,-34.9964963,-64.9672817
Australia,15,27.7,0,3.5,3,2,32,7,17.0,1273,1552,25661,48,525,52,M,-24.7761086,134.755
Belgium,21,27.7,12,11.8,7,15,107,35,16.6,3202,3779,61883,89,1432,79,M,50.6402809,4.6667145
Brazil,18,28.2,7,11.8,5,8,103,39,16.5,2476,2900,44288,87,868,90,M,-10.3333333,-53.2
Colombia,20,26.8,5,2.7,4,6,41,12,19.2,1528,1992,30540,60,754,57,M,4.099917,-72.9088133
Costa Rica,20,29.9,1,2.1,3,1,27,9,19.8,860,1136,17895,42,363,44,M,10.2735633,-84.0739102
Croatia,21,28.8,8,10.2,7,13,112,27,19.2,3178,4066,63437,91,1151,100,M,45.5643442,17.0118954
Denmark,20,26.9,3,2.8,4,3,40,12,20.1,1379,1803,28866,55,677,69,M,55.670249,10.3333283
Egypt,16,28.9,1,2.6,3,2,30,5,19.4,996,1332,19544,47,508,51,M,26.2540493,29.2675469
England,21,25.5,6,10.0,7,12,93,22,16.3,3393,4081,65476,71,1365,109,M,52.5310214,-1.2649062
France,21,25.5,6,8.1,7,12,79,26,19.3,2600,3259,50171,107,1314,90,M,46.603354,1.8883335
Germany,20,27.2,2,5.9,3,2,73,20,17.1,1771,2071,34714,46,448,33,M,51.0834196,10.4234469
Iceland,18,30.0,0,4.1,3,2,34,10,16.4,585,894,12463,52,693,48,M,64.9841821,-18.1059013
Iran,16,26.2,0,2.2,3,1,22,3,18.3,456,768,10128,46,604,50,M,32.6475314,54.5643516
Japan,18,29.2,5,4.5,4,6,43,15,16.0,1752,2150,32021,49,661,56,M,36.5748441,139.2394179
Korea Republic,19,27.1,2,2.9,3,3,34,11,20.3,752,1001,15162,41,667,57,M,55.8215537,49.132971
Mexico,19,27.8,2,4.7,4,3,61,12,19.7,1426,1756,29485,62,676,77,M,23.553556999999998,-102.26751579375113
Morocco,19,28.6,1,3.1,3,2,39,10,15.9,966,1262,18303,45,536,42,M,31.1728205,-7.3362482
Nigeria,16,24.8,2,3.1,3,3,38,8,20.5,942,1276,18294,38,586,33,M,9.6000359,7.9999721
Panama,20,28.3,1,2.3,3,1,24,8,20.4,835,1061,16575,43,576,28,M,8.559559,-81.1308434
Peru,17,27.5,1,2.6,3,2,32,11,20.9,1124,1414,21549,59,482,42,M,-6.8699697,-75.0458515
Poland,21,27.6,2,2.6,3,2,32,7,16.6,1222,1532,25769,39,502,41,M,52.215933,19.134422
Portugal,18,28.3,4,4.5,4,6,56,11,21.0,1619,2008,31645,55,650,65,M,40.0332629,-7.8896263
Russia,19,28.8,8,4.4,5,10,49,18,16.7,1364,1978,28156,64,1027,101,M,64.6863136,97.7453061
Saudi Arabia,20,28.1,1,2.9,3,2,33,7,22.3,1546,1830,27333,48,492,40,M,25.6242618,42.3528328
Senegal,18,26.0,1,3.3,3,3,29,11,17.0,806,1103,16654,36,577,35,M,14.4750607,-14.4529612
Serbia,18,27.9,1,3.5,3,2,35,6,15.1,935,1233,19601,61,790,47,M,44.1534121,20.55144
Spain,17,28.9,3,7.6,4,6,72,20,15.5,3134,3506,56605,44,617,40,M,39.3260685,-4.8379791
Sweden,19,28.5,3,6.8,5,5,56,19,17.3,1180,1669,24686,56,1027,94,M,59.6749712,14.5208584
Switzerland,17,27.4,4,3.6,4,5,55,13,19.9,1842,2222,36866,58,706,55,M,46.7985624,8.2319736
Tunisia,23,26.2,4,4.8,3,5,37,11,19.1,1206,1483,23190,48,684,42,M,33.8439408,9.400138
Uruguay,19,27.6,4,5.9,5,6,63,20,17.4,1785,2303,36450,83,870,77,M,-32.8755548,-56.0201525
Argentina,18,26.8,1,1.8,3,2,17,5,25.1,586,906,10407,68,646,54,F,-34.9964963,-64.9672817
Australia,18,25.4,4,6.6,4,8,53,20,15.1,1912,2398,38670,74,607,56,F,-24.7761086,134.755
Brazil,18,29.7,3,6.5,4,7,48,15,19.0,1372,1798,25599,95,587,74,F,-10.3333333,-53.2
Cameroon,20,27.7,3,4.2,4,3,43,11,21.2,732,1242,13894,98,783,55,F,4.6125522,13.1535811
Canada,16,27.0,3,6.2,4,4,60,12,17.9,1809,2303,34731,105,545,62,F,61.0666922,-107.991707
Chile,18,26.8,1,2.5,3,1,33,6,21.5,798,1096,16213,60,599,54,F,-31.7613365,-71.3187697
China PR,17,26.6,1,2.6,4,1,40,9,17.3,1216,1746,22975,91,653,85,F,-16.6913897,-70.7136479
England,22,27.8,12,13.6,7,13,85,31,17.7,3159,3956,60909,137,1072,107,F,52.5310214,-1.2649062
France,17,27.8,8,7.8,5,10,89,24,16.9,2025,2587,40221,100,693,79,F,46.603354,1.8883335
Germany,19,25.5,4,10.2,5,10,76,32,16.3,1882,2475,37399,125,710,75,F,51.0834196,10.4234469
Italy,17,26.5,6,6.4,5,9,52,19,19.3,1267,1833,26415,126,838,87,F,42.6384261,12.674297
Jamaica,20,22.9,1,1.8,3,1,30,7,20.0,611,940,12334,68,515,50,F,18.1850507,-77.3947693
Japan,17,24.8,2,5.0,4,3,53,15,18.5,1871,2265,34298,85,674,81,F,36.5748441,139.2394179
Korea Rep,19,26.9,1,3.1,3,1,44,13,18.7,1077,1361,20643,47,478,38,F,,
Netherlands,16,26.1,7,9.6,7,11,85,27,17.7,2987,3857,60148,204,1180,133,F,52.2288689,5.3214503
New Zealand,17,27.6,0,1.4,3,0,17,5,16.0,702,1095,13963,68,490,55,F,-41.5000831,172.8344077
Nigeria,20,25.7,1,2.1,4,1,32,6,18.6,686,1118,15235,106,585,64,F,9.6000359,7.9999721
Norway,17,26.8,3,6.4,5,5,60,18,18.4,1744,2314,32674,102,737,104,F,60.5000209,9.0999715
Scotland,19,26.4,3,3.0,3,5,32,13,16.8,1002,1305,19547,64,447,39,F,56.7861112,-4.1140518
South Africa,19,27.5,1,1.2,3,1,17,4,23.5,706,1068,14063,62,559,55,F,-28.8166236,24.991639
Spain,19,25.2,2,6.6,4,4,72,21,18.8,1659,2166,32684,81,628,53,F,39.3260685,-4.8379791
Sweden,20,28.5,7,10.9,7,12,104,38,15.3,2382,3220,47196,130,1151,127,F,59.6749712,14.5208584
Thailand,18,27.8,1,0.7,3,1,13,7,20.5,509,827,10246,83,460,51,F,14.8971921,100.83273
USA,21,28.8,17,16.6,7,25,126,51,15.1,2724,3518,55382,136,873,92,F,39.7837304,-100.445882
